WEEK,OPP,TDF,FGF,SFF,PAT1FS,PAT1FA,PAT2FS,PAT2FA,TDA,FGA,SFA,PAT1AS,PAT1AA,PAT2AS,PAT2AA
1,CLE,3,3,0,3,3,0,0,3,2,0,3,3,0,0
2,BAL,0,2,0,0,0,0,0,2,4,0,2,2,0,0
3,CAR,4,3,0,4,4,0,0,2,2,0,1,1,0,1
4,TB,3,1,0,3,3,0,0,3,2,0,3,3,0,0
5,JAX,2,1,0,2,2,0,0,0,3,0,0,0,0,0
6,CLE,1,1,0,1,1,0,0,4,1,0,4,4,0,0
7,HOU,3,3,0,3,3,0,0,2,3,0,2,2,0,0
8,IND,7,0,1,7,7,0,0,4,2,0,4,4,0,0
9,BAL,6,0,0,5,5,1,1,3,1,0,2,2,0,1
10,NYJ,1,2,0,1,1,0,0,2,2,0,2,2,0,0
11,TEN,3,2,0,3,3,0,0,3,1,0,3,3,0,0
13,NO,3,3,0,1,1,2,2,5,0,0,5,5,0,0
14,CIN,5,2,0,4,4,1,1,3,0,0,3,3,0,0
15,ATL,3,2,0,3,3,0,0,2,2,0,2,2,0,0
16,KC,2,2,0,2,2,0,0,0,4,0,0,0,0,0
17,CIN,3,2,0,3,3,0,0,2,1,0,2,2,0,0
18,BAL,1,3,1,0,0,0,1,3,3,0,3,3,0,0
